#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-01-29T15:41:41 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61f55e983eb8ef	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-nav=cat:B/gcvs&tab:{B/gcvs/gcvs_cat}&key:source=B/gcvs/gcvs_cat&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/gcvs/gcvs_cat
#-order=I
#-out=GCVS
#-out=n_GCVS
#-out=RAJ2000
#-out=DEJ2000
#-out=VarType
#-out=magMax
#magMax=<14.2
#-out=Epoch
#-out=Period
#Period=<3
#-out=SpType
#-out=Exists
#-out=VarName
#AFOEV=AFOEV
#Simbad=Simbad
#

#RESOURCE=yCat_102025
#Name: B/gcvs
#Title: General Catalogue of Variable Stars (Samus+, 2007-2017)
#Table	B_gcvs_gcvs_cat:
#Name: B/gcvs/gcvs_cat
#Title: GCVS catalog (GCVS 5.1, version Oct, 2020)
#Column	GCVS	(A10)	Variable star designation (2)	[ucd=meta.id;meta.main]
#Column	n_GCVS	(A1)	[*] indicates a remark in "gcvs_rem.dat" file	[ucd=meta.note]
#Column	RAJ2000	(A11)	? Hours RA, equinox J2000.0 (G1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	? Degrees Dec, equinox J2000.0 (G1)	[ucd=pos.eq.dec;meta.main]
#Column	VarType	(a10)	Type of variability (see file "vartype.txt")	[ucd=meta.code;src.var]
#Column	magMax	(F6.3)	? Magnitude at maximum brightness	[ucd=phot.mag]
#Column	Epoch	(F11.5)	? Epoch for maximum light, Julian days (G5)	[ucd=time.epoch]
#Column	Period	(F16.10)	? Period of the variable star	[ucd=time.period]
#Column	SpType	(a17)	Spectral type	[ucd=src.spType]
#Column	Exists	(A12)	Cases of non-existence of the variable etc. (12)	[ucd=meta.note]
#Column	VarName	(A11)	Variable star designation (17)	[ucd=meta.id]
GCVS|n_GCVS|RAJ2000|DEJ2000|VarType|magMax|Epoch|Period|SpType|Exists|VarName
 | |"h:m:s"|"d:m:s"| |mag|d|d| | |
----------|-|-----------|-----------|----------|------|-----------|----------------|-----------------|------------|-----------
RT And    |*|23 11 10.10|+53 01 33.0|EA/RS     | 8.970|51421.73700|    0.6289216000|F8V+K1           |            |RT    And
SW And    |*|00 23 43.09|+29 24 03.6|RRAB      | 9.140|53735.53800|    0.4422618000|A7III-F8III      |            |SW    And
TT And    |x|23 13 22.90|+46 08 51.1|EA        |11.500|53662.45640|    2.7651010000|A                |            |TT    And
UU And    |*|00 43 45.06|+30 56 19.6|EA        |11.200|52925.42600|    1.4862930000|A8IV/V           |            |UU    And
WZ And    |*|01 01 43.60|+38 05 47.0|EB        |11.160|52500.23230|    0.6956638000|F5               |            |WZ    And
XX And    |*|01 17 27.41|+38 57 02.0|RRAB      |10.080|53662.57500|    0.7227570000|A8-F6            |            |XX    And
XY And    |*|01 26 42.41|+34 04 07.4|RRAB      |12.900|49645.84800|    0.3987254400|                 |            |XY    And
XZ And    |*|01 56 51.52|+42 06 02.2|EA        | 9.910|52500.51290|    1.3573091000|A1V              |            |XZ    And
ZZ And    |*|00 49 34.79|+27 01 19.7|RRAB      |12.580|53326.33800|    0.5545372000|                 |            |ZZ    And
AA And    |x|23 05 22.84|+47 40 34.7|EB        |10.300|52500.73000|    0.9350969000|B8V              |            |AA    And
AB And    |*|23 11 32.09|+36 53 35.1|EW        | 9.490|52500.05990|    0.3318912000|G5+G5V           |            |AB    And
AC And    |*|23 18 02.35|+48 46 58.3|*         |10.700|28009.31000|    0.7112376000|A9-F8            |            |AC    And
AD And    |*|23 36 45.01|+48 40 15.6|EB        |11.200|52500.48540|    0.9862020000|A0V              |            |AD    And
AP And    |x|23 49 30.70|+45 47 21.3|EA        |11.300|52500.21200|    1.5872910000|F5               |            |AP    And
AT And    |*|23 42 30.83|+43 00 51.7|RRAB      |10.420|53287.48510|    0.6169122000|F0-F7            |            |AT    And
BD And    |*|23 07 05.17|+50 57 30.9|EB        |11.300|52500.38730|    0.4629057000|F8               |            |BD    And
BK And    |*|23 35 06.04|+41 06 10.5|RRAB      |12.400|50740.41300|    0.4216035000|                 |            |BK    And
BL And    |*|23 11 24.26|+51 52 31.3|EB        |11.150|52500.38140|    0.7223758700|A0               |            |BL    And
BX And    |*|02 09 03.42|+40 47 39.2|EB        | 8.870|52500.34540|    0.6101119000|F2V              |            |BX    And
CC And    |*|00 43 48.01|+42 16 55.7|DSCT      | 9.190|           |    0.1249078000|F3IV-V           |            |CC    And
CI And    |*|01 55 08.29|+43 45 56.5|RRAB      |11.760|51441.80300|    0.4847267000|A8               |            |CI    And
CN And    |*|00 20 30.54|+40 13 33.8|EB        | 9.620|50698.94470|    0.4627909200|F5V              |            |CN    And
CO And    |*|01 11 24.84|+46 57 49.4|EA        |11.100|52501.52470|    1.8276678000|F8               |            |CO    And
CU And    |*|23 01 01.60|+49 58 25.3|EA        |12.500|50344.32200|    1.7160100000|                 |            |CU    And
CZ And    |x|23 09 00.87|+49 36 51.5|EA        |12.400|31001.48200|    2.7172000000|A6               |            |CZ    And
DE And    |x|23 17 26.13|+48 33 06.2|RRAB      |13.400|48112.76600|    0.4536350000|                 |            |DE    And
DK And    |x|23 28 45.86|+50 34 29.2|EW        |12.500|51435.43530|    0.4892224000|                 |            |DK    And
DM And    |x|23 32 00.71|+35 11 48.5|RRAB      |12.400|53320.35700|    0.6303870000|                 |            |DM    And
DO And    |x|00 10 57.08|+42 06 40.4|EB        |12.300|52501.03600|    1.3487070000|                 |            |DO    And
DR And    |*|01 05 10.71|+34 13 06.3|RRAB      |11.650|52620.43850|    0.5631300000|A                |            |DR    And
DS And    |*|01 57 46.05|+38 04 28.4|EA        |10.440|52500.68340|    1.0105188000|F2III            |            |DS    And
